Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,matmul_kernel,AI_CORE,1,59,346.129,1775117018889014.236	,1775117018889360.365	
0,matmul_kernel,AI_CORE,1,60,348.683,1775117018889396.665	,1775117018889745.348	
0,matmul_kernel,AI_CORE,1,61,349.739,1775117018889787.692	,1775117018890137.431	
0,matmul_kernel,AI_CORE,1,62,349.365,1775117018890173.316	,1775117018890522.681	
0,matmul_kernel,AI_CORE,1,63,345.951,1775117018890557.022	,1775117018890902.973	
0,matmul_kernel,AI_CORE,1,64,348.132,1775117018890939.626	,1775117018891287.758	
0,matmul_kernel,AI_CORE,1,65,347.34,1775117018891319.932	,1775117018891667.272	
0,matmul_kernel,AI_CORE,1,66,348.774,1775117018891704.042	,1775117018892052.816	
0,matmul_kernel,AI_CORE,1,67,348.089,1775117018892086.393	,1775117018892434.482	
0,matmul_kernel,AI_CORE,1,68,346.784,1775117018892467.333	,1775117018892814.117	
0,matmul_kernel,AI_CORE,1,69,348.383,1775117018892848.283	,1775117018893196.666	
0,matmul_kernel,AI_CORE,1,70,347.956,1775117018893228.295	,1775117018893576.251	
0,matmul_kernel,AI_CORE,1,71,349.463,1775117018893605.615	,1775117018893955.078	
0,matmul_kernel,AI_CORE,1,72,349.192,1775117018893987.093	,1775117018894336.285	
0,matmul_kernel,AI_CORE,1,73,349.523,1775117018894370.053	,1775117018894719.576	
0,matmul_kernel,AI_CORE,1,74,347.26,1775117018894752.538	,1775117018895099.798	
0,matmul_kernel,AI_CORE,1,75,350.262,1775117018895130.632	,1775117018895480.894	
0,matmul_kernel,AI_CORE,1,76,346.87,1775117018895512.606	,1775117018895859.476	
0,matmul_kernel,AI_CORE,1,77,346.531,1775117018895891.363	,1775117018896237.894	
0,matmul_kernel,AI_CORE,1,78,346.134,1775117018896267.528	,1775117018896613.662	
0,matmul_kernel,AI_CORE,1,79,346.333,1775117018896644.648	,1775117018896990.981	
0,matmul_kernel,AI_CORE,1,80,347.727,1775117018897019.414	,1775117018897367.141	
0,matmul_kernel,AI_CORE,1,81,347.006,1775117018897398.979	,1775117018897745.985	
0,matmul_kernel,AI_CORE,1,82,348.998,1775117018897775.567	,1775117018898124.565	
0,matmul_kernel,AI_CORE,1,83,347.197,1775117018898155.917	,1775117018898503.114	
0,matmul_kernel,AI_CORE,1,84,348.881,1775117018898532.032	,1775117018898880.913	
0,matmul_kernel,AI_CORE,1,85,347.064,1775117018898915.716	,1775117018899262.780	
0,matmul_kernel,AI_CORE,1,86,347.635,1775117018899295.839	,1775117018899643.474	
0,matmul_kernel,AI_CORE,1,87,349.442,1775117018899682.629	,1775117018900032.071	
0,matmul_kernel,AI_CORE,1,88,346.165,1775117018900063.270	,1775117018900409.435	
0,matmul_kernel,AI_CORE,1,89,349.127,1775117018900442.836	,1775117018900791.963	
0,matmul_kernel,AI_CORE,1,90,346.887,1775117018900823.622	,1775117018901170.509	
0,matmul_kernel,AI_CORE,1,91,350.789,1775117018901201.432	,1775117018901552.221	
0,matmul_kernel,AI_CORE,1,92,350.386,1775117018901583.769	,1775117018901934.155	
0,matmul_kernel,AI_CORE,1,93,347.136,1775117018901965.636	,1775117018902312.772	
0,matmul_kernel,AI_CORE,1,94,349.547,1775117018902343.113	,1775117018902692.660	
0,matmul_kernel,AI_CORE,1,95,347.742,1775117018902727.317	,1775117018903075.059	
0,matmul_kernel,AI_CORE,1,96,347.875,1775117018903106.290	,1775117018903454.165	
0,matmul_kernel,AI_CORE,1,97,347.562,1775117018903485.174	,1775117018903832.736	
0,matmul_kernel,AI_CORE,1,98,347.179,1775117018903863.701	,1775117018904210.880	
0,matmul_kernel,AI_CORE,1,99,345.881,1775117018904242.076	,1775117018904587.957	
0,matmul_kernel,AI_CORE,1,100,346.844,1775117018904619.803	,1775117018904966.647	
0,matmul_kernel,AI_CORE,1,101,348.635,1775117018904998.180	,1775117018905346.815	
0,matmul_kernel,AI_CORE,1,102,349.709,1775117018905375.493	,1775117018905725.202	
0,matmul_kernel,AI_CORE,1,103,348.962,1775117018905759.638	,1775117018906108.600	
0,matmul_kernel,AI_CORE,1,104,349.626,1775117018906137.684	,1775117018906487.310	
0,matmul_kernel,AI_CORE,1,105,348.644,1775117018906519.623	,1775117018906868.267	
0,matmul_kernel,AI_CORE,1,106,348.406,1775117018906900.461	,1775117018907248.867	
0,matmul_kernel,AI_CORE,1,107,347.327,1775117018907285.406	,1775117018907632.733	
0,matmul_kernel,AI_CORE,1,108,347.633,1775117018907672.025	,1775117018908019.658	
0,matmul_kernel,AI_CORE,1,109,348.723,1775117018908050.098	,1775117018908398.821	
0,matmul_kernel,AI_CORE,1,110,348.252,1775117018908427.753	,1775117018908776.005	
0,matmul_kernel,AI_CORE,1,111,348.924,1775117018908807.583	,1775117018909156.507	
0,matmul_kernel,AI_CORE,1,112,347.824,1775117018909185.375	,1775117018909533.199	
0,matmul_kernel,AI_CORE,1,113,347.505,1775117018909562.236	,1775117018909909.741	
0,matmul_kernel,AI_CORE,1,114,348.005,1775117018909940.054	,1775117018910288.059	
0,matmul_kernel,AI_CORE,1,115,348.735,1775117018910318.964	,1775117018910667.699	
0,matmul_kernel,AI_CORE,1,116,349.989,1775117018910696.487	,1775117018911046.476	
0,matmul_kernel,AI_CORE,1,117,349.085,1775117018911078.658	,1775117018911427.743	
0,matmul_kernel,AI_CORE,1,118,347.267,1775117018911458.778	,1775117018911806.045	
0,matmul_kernel,AI_CORE,1,119,349.262,1775117018911838.087	,1775117018912187.349	
0,matmul_kernel,AI_CORE,1,120,348.714,1775117018912218.413	,1775117018912567.127	
0,matmul_kernel,AI_CORE,1,121,347.413,1775117018912596.999	,1775117018912944.412	
0,matmul_kernel,AI_CORE,1,122,348.321,1775117018913713.574	,1775117018914061.895	
0,matmul_kernel,AI_CORE,1,123,347.526,1775117018914094.126	,1775117018914441.652	
0,matmul_kernel,AI_CORE,1,124,349.701,1775117018914474.975	,1775117018914824.676	
0,matmul_kernel,AI_CORE,1,125,347.819,1775117018914858.182	,1775117018915206.001	
0,matmul_kernel,AI_CORE,1,126,348.202,1775117018915234.656	,1775117018915582.858	
0,matmul_kernel,AI_CORE,1,127,347.602,1775117018915615.361	,1775117018915962.963	
0,matmul_kernel,AI_CORE,1,128,347.244,1775117018915997.035	,1775117018916344.279	
0,matmul_kernel,AI_CORE,1,129,347.205,1775117018916374.481	,1775117018916721.686	
0,matmul_kernel,AI_CORE,1,130,347.86,1775117018916751.473	,1775117018917099.333	
0,matmul_kernel,AI_CORE,1,131,347.762,1775117018917128.971	,1775117018917476.733	
0,matmul_kernel,AI_CORE,1,132,350.104,1775117018917505.165	,1775117018917855.269	
0,matmul_kernel,AI_CORE,1,133,346.956,1775117018917887.270	,1775117018918234.226	
0,matmul_kernel,AI_CORE,1,134,346.327,1775117018918262.906	,1775117018918609.233	
